ID,SchoolCode,SchoolName,Address,City,StateCode,ZipCode,Province,Country,PostalCode
26186,E01015,UTAH COLLEGE OF MASSAGE THERAPY - ARIZON,1000 NORTH 31 AVENUE,PHOENIX,AZ,85051,,,
26187,E01017,ITT TECHNICAL INSTITUTE,760 MOORE ROAD,KING OF PRUSSIA,PA,19406,,,
26188,E01019,MILLER - MOTTE TECHNICAL COLLEGE - CHATT,6020 SHALLOWFORD ROAD,CHATTANOOGA,TN,37421,,,
26189,E01020,CREATIVE IMAGES-A CERTIFIED MATRIX,568 MIAMISBURG-CENTERVILLE RD,DAYTON,OH,45459,,,
26190,E01021,KAPLAN COLLEGE - CAREER CENTERS OF TEXAS,1620 SOUTH PADRE ISLAND DRIVE,CORPUS CHRISTI,TX,78416,,,
26191,E01023,KAPLAN COLLEGE - BROWNSVILLE,1900 N. EXPRESSWAY,BROWNSVILLE,TX,78521,,,
26192,E01024,BAKER COLLEGE-ALLEN PARK,4500 ENTERPRISE DRIVE,ALLEN PARK,MI,48101,,,
26193,E01025,VATTEROTT COLLEGE - CLEVELAND,5025 EAST ROYALTON ROAD,BROADVIEW HEIGHTS,OH,44147,,,
26194,E01027,KAPLAN COLLEGE - MCALLEN,1500 SOUTH JACKSON  ROAD,MCALLEN,TX,78503,,,
26195,E01030,INTERACTIVE LEARNING SYSTEMS,256 NORTH SAM HOUSTON PARKWAY,HOUSTON,TX,77060,,,
26196,E01032,VANDERBILT UNIV MED CTR ALLIEDHEAL,1301 22ND AVE S.,NASHVILLE,TN,37232,,,
26197,E01033,INDIANA UNIVERSITY - PURDUE UNIVERSITY I,4601 CENTRAL AVENUE,COLUMBUS,IN,47203,,,
26198,E01036,MANATEE TECHNICAL INSTITUTE-EAST,5520 LAKEWOOD RANCH BVD,BRADENTON,FL,34211,,,
26199,E01038,COLORADO TECH UNIV - ON LINE,4405 N. CHESTNUT ST,COLORADO SPRINGS,CO,80907,,,
26200,E01048,CONNECTICUT CENTER FOR MASSAGE THERAPY -,1154 POQUONNOCK ROAD,GROTON,CT,06340,,,
26201,E01051,AMERICAN INTERCONTINENTAL UNIV - HOUSTON,9999 RICHMOND ROAD,HOUSTON,TX,77042,,,
26202,E01052,VATTEROTT COLLEGE-ST JOSEPH,3131 FREDERICK BOULEVARD,ST. JOSEPH,MO,64501,,,
26203,E01054,PCI ACADEMY - PCI ACADEMY,4315 PEONY LANE NORTH,PLYMOUTH,MN,55446,,,
26204,E01057,KAPLAN COLLEGE - LUBBOCK,1421 9TH STREET,LUBBOCK,TX,79401,,,
26205,E01061,SOUTHWEST FLORIDA COLLEGE - TAMPA,3910 RIGA BLVD,TAMPA,FL,33619,,,
26206,E01080,STAR TECHNICAL INSTITUTE -,BLUE HEN CORPORATE CENTER,DOVER,DE,19901,,,
26207,E01091,LINCOLN TECHNICAL INSTITUTE - BROCKTON,365 WESTGATE DRIVE,BROCKTON,MA,02401,,,
26208,E01094,LINCOLN COLLEGE OF TECHNOLOGY - MARIETTA,2359 WINDY HILL ROAD,MARIETTA,GA,30067,,,
26209,E01095,LINCOLN TECHNICAL INSTITUTE - LOWELL,211 PLAIN STREET,LOWELL,MA,01852,,,
26210,E01096,LINCOLN TECHNICAL INSTITUTE,3600 MARKET STREET,PHILADELPHIA,PA,19104,,,
26211,E01097,LINCOLN TECHNICAL INSTITUTE - NORTHEAST,2180 HORNIG ROAD,PHILADELPHIA,PA,19116,,,
26212,E01103,FORTIS COLLEGE - RICHMOND CAMPUS,2000 WESTMORELAND STREET,RICHMOND,VA,23230,,,
26213,E01104,KAPLAN COLLEGE - CAREER CENTERS OF TEXAS,2001 BEACH STREET,FORT WORTH,TX,76103,,,
26214,E01108,STONE ACADEMY -WATERBURY,101 PIERPONT ROAD,WATERBURY,CT,06705,,,
26215,E01111,RESEARCH MEDICAL CENTER - COLLEGE OF NUR,2300 EAST MEYER BOULEVARD,KANSAS CITY,MO,64132,,,
26216,E01113,DELAWARE AREA CAREER CENTER -,1610 STATE ROUTE 521,DELAWARE,OH,43015,,,
26217,E01117,INTERNATIONAL ACADEMY OF DESIGN AND TECH,1850 RESEARCH DRIVE,TROY,MI,48083,,,
26218,E01119,INTERNATIONAL ACADEMY OF DESIGN AND TECH,6039 SOUTH RIO GRANDE AVENUE,ORLANDO,FL,32809,,,
26219,E01120,LE CORDON BLEU COLLEGE OF CULINARY ARTS,8511 COMMODITY CIRCLE,ORLANDO,FL,32819,,,
26220,E01121,INTERNATIONAL ACADEMY OF DESIGN AND TECH,2495 VILLAGE VIEW DRIVE,HENDERSON,NV,89074,,,
26221,E01125,SCOTTSDALE CULINARY INSTITUTE - LE CORDO,1451 CENTER CROSSING,LAS VEGAS,NV,89144,,,
26222,E01126,WESTERN CULINARY INSTITUTE - LE CORDON B,1927 LAKESIDE PARKWAY,TUCKER,GA,30084,,,
